,Date,Open,High,Low,Close,Volume,Signal,NumBuy,Cost,NumSell,Income,Profit
129,7/12/2013,7.55,7.65,7.4,7.65,1467349,1,,,,,
130,7/15/2013,7.75,8.0,7.75,8.0,1226788,1,12800.0,-99368.64,,,
131,7/16/2013,8.0,8.0,7.65,7.8,1684202,1,,,,,
132,7/17/2013,7.8,7.95,7.8,7.8,1103841,1,,,,,
133,7/18/2013,7.85,8.35,7.8,8.35,3001038,1,,,,,
134,7/19/2013,8.25,8.4,8.1,8.4,1833575,1,,,,,
135,7/23/2013,8.5,8.85,8.45,8.85,1917010,1,,,,,
136,7/24/2013,8.8,9.0,8.5,8.7,2444903,-1,,,,,
137,7/25/2013,8.55,8.6,8.15,8.25,3957233,-1,,,-12800.0,109253.952,9885.312000000005
138,7/26/2013,8.35,8.5,8.05,8.5,2869665,-1,,,,,
139,7/29/2013,8.35,8.45,8.25,8.45,1428839,-1,,,,,
140,7/30/2013,8.45,8.5,8.1,8.15,2009183,-1,,,,,
141,7/31/2013,8.2,8.3,7.65,8.3,2859447,1,,,,,
142,8/1/2013,8.3,8.35,8.1,8.35,1819224,1,12000.0,-99769.32000000002,,,
143,8/2/2013,8.35,8.35,7.95,8.2,2640562,1,,,,,
144,8/5/2013,8.1,8.2,7.95,8.2,1079739,1,,,,,
145,8/6/2013,8.05,8.25,8.05,8.1,2084727,-1,,,,,
146,8/7/2013,8.1,8.2,8.05,8.15,1540078,-1,,,-12000.0,97034.76,-2734.560000000027
147,8/8/2013,8.25,8.35,8.15,8.2,2019536,-1,,,,,
148,8/9/2013,8.25,8.25,8.1,8.25,961237,1,,,,,
149,8/13/2013,8.35,8.75,8.25,8.7,1966898,1,11900.0,-99533.92050000001,,,
150,8/14/2013,8.65,8.75,8.6,8.7,1158004,1,,,,,
151,8/15/2013,8.7,8.8,8.45,8.8,1530089,1,,,,,
152,8/16/2013,8.65,8.8,8.6,8.65,1590251,-1,,,,,
153,8/19/2013,8.6,8.6,8.05,8.05,2268322,-1,,,-11900.0,102166.022,2632.1014999999898
154,8/20/2013,7.9,7.95,7.5,7.8,2746849,-1,,,,,
155,8/21/2013,7.6,8.0,7.6,7.85,2957193,-1,,,,,
156,8/22/2013,7.65,7.85,7.55,7.65,2460940,-1,,,,,
157,8/23/2013,7.75,7.8,7.35,7.35,2097828,-1,,,,,
158,8/26/2013,7.45,8.2,7.4,7.8,3267537,1,,,,,
159,8/27/2013,7.75,7.75,7.15,7.15,2710337,1,12800.0,-99368.64,,,
160,8/28/2013,6.95,7.25,6.6,7.2,4742971,1,,,,,
161,8/29/2013,7.25,7.4,7.15,7.4,1941651,1,,,,,
162,8/30/2013,7.3,7.45,7.25,7.25,1121566,1,,,,,
163,9/2/2013,7.35,7.55,7.25,7.55,1741742,1,,,,,
164,9/3/2013,7.55,7.6,7.25,7.25,1579225,1,,,,,
165,9/4/2013,7.15,7.4,7.0,7.4,1916251,1,,,,,
166,9/5/2013,7.2,7.4,7.15,7.15,970661,-1,,,,,
167,9/6/2013,7.2,7.45,7.15,7.35,1018670,-1,,,-12800.0,92003.328,-7365.312000000005
168,9/9/2013,7.45,7.65,7.4,7.6,1624164,1,,,,,
169,9/10/2013,7.8,8.25,7.75,8.0,3689223,1,12700.0,-99228.402,,,
170,9/11/2013,8.05,8.1,7.85,8.0,2022919,1,,,,,
171,9/12/2013,8.0,8.1,7.8,7.8,1613340,-1,,,,,
172,9/13/2013,7.8,8.05,7.75,8.05,1156629,-1,,,-12700.0,98891.598,-336.8040000000037
173,9/16/2013,8.15,8.6,8.15,8.6,2264814,1,,,,,
174,9/17/2013,8.55,8.55,8.4,8.45,1306044,1,11600.0,-99348.60600000001,,,
175,9/18/2013,8.45,8.55,8.3,8.55,1165132,1,,,,,
176,9/19/2013,8.95,9.0,8.75,8.8,1714161,-1,,,,,
177,9/20/2013,8.75,8.9,8.7,8.9,879419,-1,,,-11600.0,101327.45,1978.8439999999828
178,9/23/2013,8.75,8.85,8.5,8.5,1205042,-1,,,,,
179,9/24/2013,8.45,8.65,8.35,8.35,1122148,-1,,,,,
180,9/25/2013,8.45,8.5,8.1,8.4,1328262,-1,,,,,
181,9/26/2013,8.3,8.55,8.3,8.5,961023,-1,,,,,
182,9/27/2013,8.45,8.55,8.35,8.5,639336,1,,,,,
183,9/30/2013,8.3,8.3,8.1,8.25,770312,1,12000.0,-99769.32000000002,,,
184,10/1/2013,8.3,8.4,8.15,8.3,1090271,-1,,,,,
185,10/2/2013,8.4,8.55,8.3,8.5,1048185,1,,,-12000.0,100628.64,859.3199999999779
186,10/3/2013,8.7,9.2,8.7,9.1,2563881,1,11400.0,-99348.60599999999,,,
187,10/4/2013,9.05,9.35,8.9,9.35,1514137,1,,,,,
188,10/7/2013,9.35,9.6,9.3,9.4,1663652,1,,,,,
189,10/8/2013,9.4,9.8,9.25,9.55,2274317,-1,,,,,
190,10/9/2013,9.55,9.7,9.45,9.7,1208151,-1,,,-11400.0,108684.92100000002,9336.315000000031
191,10/10/2013,9.75,9.85,9.6,9.7,1798646,-1,,,,,
192,10/11/2013,9.8,9.8,9.45,9.55,1290660,-1,,,,,
193,10/14/2013,9.45,9.5,9.2,9.45,1685832,-1,,,,,
194,10/15/2013,9.5,9.75,9.5,9.6,1550355,-1,,,,,
195,10/16/2013,9.55,9.65,9.4,9.6,758200,1,,,,,
