Date,Open,High,Low,Close,Volume,SMA10,EMA10
9/27/2000,16.75,17.25,16.5,17.0,17287,16.1,16.41027466986167
9/28/2000,17.0,17.0,16.25,16.25,11451,16.175,16.381133820795913
9/29/2000,16.5,16.5,16.0,16.0,5925,16.15,16.311836762469383
10/2/2000,16.0,16.5,16.0,16.25,13378,16.2,16.300593714747677
10/3/2000,16.25,16.25,16.0,16.25,15848,16.25,16.291394857520825
10/4/2000,16.25,16.75,16.25,16.5,9660,16.325,16.32932306524431
10/5/2000,16.5,17.0,16.25,16.5,10522,16.375,16.36035523519989
10/6/2000,16.25,16.75,16.25,16.75,6842,16.475,16.431199737890818
10/9/2000,16.5,16.75,16.5,16.75,6696,16.525,16.489163421910668
10/10/2000,16.75,17.0,16.5,16.75,5898,16.5,16.536588254290546
10/11/2000,16.75,16.75,16.5,16.5,8018,16.45,16.529935844419537
10/12/2000,16.5,17.0,16.5,17.0,16551,16.525,16.615402054525074
10/13/2000,16.5,17.0,16.25,16.5,22831,16.575,16.59441986279324
10/16/2000,17.0,17.5,16.75,17.0,17069,16.65,16.668161705921744
10/17/2000,17.25,18.0,17.25,17.75,23484,16.8,16.864859577572336
10/18/2000,17.75,19.25,17.75,19.25,42446,17.075,17.29852147255918
10/19/2000,19.0,19.5,18.5,19.0,49520,17.325,17.607881204821147
10/20/2000,19.5,19.5,18.75,18.75,53798,17.525,17.815539167580937
10/24/2000,19.0,19.0,18.0,18.0,17304,17.65,17.849077500748038
10/25/2000,18.0,18.25,17.5,17.5,12014,17.725,17.785608864248395
10/26/2000,17.5,18.25,17.5,18.25,14613,17.9,17.870043616203233
10/27/2000,18.5,18.5,18.0,18.0,6812,18.0,17.893672049620825
10/30/2000,18.0,18.25,17.5,17.75,6836,18.125,17.867549858780674
10/31/2000,17.75,18.25,17.75,18.0,5696,18.225,17.891631702638733
11/1/2000,18.25,19.0,18.0,19.0,13772,18.35,18.09315321124987
11/2/2000,19.0,19.25,18.5,18.75,15031,18.3,18.21257990011353
11/3/2000,19.0,19.5,19.0,19.5,18357,18.35,18.446656281911068
11/6/2000,19.5,21.0,19.5,20.75,51892,18.55,18.865446048836326
11/7/2000,21.25,21.5,20.5,21.0,38672,18.85,19.25354676722972
11/8/2000,21.5,22.25,21.0,21.75,38173,19.275,19.707447355006135
11/9/2000,21.5,21.75,20.75,20.75,17139,19.525,19.897002381368655
11/10/2000,20.75,21.0,20.5,20.75,10470,19.8,20.052092857483444
11/13/2000,20.5,20.5,20.0,20.25,8635,20.05,20.088075974304637
