,Date,Open,High,Low,Close,Volume,UB,MB,LB,Signal
121,6/30/2000,22.5,22.75,21.75,22.0,12575,26.55451929674794,24.0875,21.620480703252056,1
122,7/3/2000,22.0,22.0,20.5,20.5,12590,26.469187410646786,23.7875,21.105812589353217,1
123,7/4/2000,20.5,20.75,19.75,20.25,16128,26.461518570018878,23.5125,20.56348142998112,1
124,7/5/2000,20.25,20.5,19.75,20.25,9470,26.383016034699573,23.25,20.116983965300427,1
125,7/6/2000,20.0,20.5,19.75,20.5,6400,26.118310387776773,22.9875,19.856689612223228,1
126,7/7/2000,20.25,21.0,20.25,20.5,6430,25.821734102658297,22.7375,19.653265897341704,1
127,7/10/2000,21.0,21.25,20.5,20.5,14962,25.50000000000007,22.5,19.49999999999993,1
128,7/11/2000,20.75,21.0,20.75,20.75,8268,25.34746153149057,22.3375,19.327538468509427,1
129,7/12/2000,21.0,21.0,20.25,20.5,5237,25.172461531490576,22.1625,19.152538468509427,1
130,7/13/2000,20.5,20.5,20.0,20.25,5066,24.91953888161263,21.9625,19.005461118387366,1
131,7/14/2000,20.5,20.5,19.25,19.75,16573,24.646085295474954,21.7375,18.828914704525047,1
132,7/18/2000,19.5,19.5,19.25,19.5,5813,24.48562607742979,21.5375,18.589373922570214,1
133,7/19/2000,19.5,19.5,19.0,19.25,7871,24.290148438638173,21.325,18.359851561361825,1
134,7/20/2000,19.0,19.0,17.5,17.75,30637,24.221650717141735,21.0375,17.853349282858268,1
135,7/21/2000,18.0,18.25,17.5,17.5,14552,24.125609106828843,20.75,17.374390893171157,1
136,7/24/2000,17.25,17.25,16.25,16.25,18075,24.118375423417362,20.4,16.681624576582635,1
137,7/25/2000,16.0,17.0,15.75,16.75,23285,23.984517175172627,20.1,16.215482824827376,1
138,7/26/2000,16.75,16.75,15.5,15.5,28337,23.814088267462992,19.7125,15.610911732537005,1
139,7/27/2000,15.0,15.75,14.75,15.25,22520,23.456795324336007,19.3,15.143204675663995,1
140,7/28/2000,15.5,15.75,15.25,15.5,12865,23.150877101398383,18.95,14.749122898601616,1
141,7/31/2000,15.25,15.25,14.5,14.75,10472,22.92908290318909,18.5875,14.245917096810906,1
142,8/1/2000,14.75,16.0,14.5,15.75,22595,22.77005001162474,18.35,13.929949988375263,1
143,8/2/2000,15.75,16.75,15.25,16.5,40299,22.561288708867917,18.1625,13.763711291132086,1
144,8/3/2000,16.5,17.75,16.25,17.75,32639,22.327252170488553,18.0375,13.74774782951145,1
145,8/4/2000,18.25,18.75,18.0,18.0,46538,22.042859357374773,17.9125,13.782140642625228,1
146,8/7/2000,18.5,18.5,17.5,17.75,22214,21.72168415121788,17.775,13.828315848782117,1
147,8/8/2000,18.0,19.25,17.75,19.0,31443,21.482229918698156,17.7,13.917770081301843,1
148,8/9/2000,19.5,20.0,19.0,19.0,40562,21.172049794123247,17.6125,14.052950205876755,1
149,8/10/2000,19.0,19.5,18.25,18.5,25439,20.834971337645282,17.5125,14.190028662354717,1
150,8/11/2000,18.5,18.75,18.25,18.75,15483,20.561578811594448,17.4375,14.31342118840555,1
151,8/15/2000,19.0,19.5,19.0,19.25,18432,20.465863115613704,17.4125,14.359136884386297,1
152,8/16/2000,19.25,19.75,19.0,19.75,7660,20.51615886972758,17.425,14.333841130272422,1
153,8/17/2000,19.75,20.75,19.5,20.25,38173,20.719022843712274,17.475,14.230977156287729,1
154,8/18/2000,20.25,20.25,19.5,19.75,10236,20.974303334198858,17.575,14.17569666580114,1
155,8/21/2000,19.25,19.5,18.75,18.75,8684,21.07672803455731,17.6375,14.19827196544269,1
156,8/22/2000,18.75,19.5,18.75,19.25,3746,21.2336076441019,17.7875,14.341392355898101,1
157,8/23/2000,19.5,19.5,18.25,18.25,10517,21.27869594532322,17.8625,14.44630405467678,1
158,8/24/2000,18.25,18.75,18.25,18.5,10833,21.25073782488671,18.0125,14.77426217511329,1
159,8/25/2000,18.5,18.75,18.5,18.5,4861,21.144582639468425,18.175,15.205417360531577,1
160,8/28/2000,18.5,18.75,18.0,18.25,4887,21.002026469767422,18.3125,15.622973530232578,1
161,8/29/2000,18.25,19.0,18.25,18.75,4785,20.61810030195182,18.5125,16.40689969804818,1
162,8/30/2000,18.75,19.0,18.5,18.5,6243,20.30751875435944,18.65,16.99248124564056,1
163,8/31/2000,18.5,18.5,18.25,18.5,5814,20.067893055321175,18.75,17.432106944678825,1
164,9/1/2000,18.75,18.75,18.5,18.5,7095,20.0258669212231,18.7875,17.549133078776904,1
165,9/4/2000,18.75,18.75,18.25,18.25,2528,20.009610637658856,18.8,17.590389362341146,1
166,9/5/2000,18.25,18.5,18.0,18.5,2886,19.952882870304645,18.8375,17.722117129695352,1
167,9/6/2000,18.25,18.25,17.5,17.5,6141,20.024025809653402,18.7625,17.500974190346597,1
168,9/7/2000,17.5,17.5,16.25,16.25,17284,20.30694749276596,18.625,16.94305250723404,1
169,9/8/2000,16.25,16.5,16.25,16.25,15469,20.502441813484324,18.5125,16.522558186515674,1
170,9/11/2000,16.0,16.0,15.5,16.0,10474,20.654773765322627,18.375,16.095226234677373,1
171,9/12/2000,15.75,16.0,15.75,16.0,8449,20.684847063015365,18.2125,15.740152936984632,1
172,9/13/2000,16.25,16.5,16.0,16.0,24215,20.573993609457144,18.025,15.476006390542853,1
173,9/14/2000,16.0,16.0,15.5,15.5,14575,20.348724008370493,17.7875,15.226275991629509,1
174,9/15/2000,15.75,16.25,15.75,16.25,11844,20.085911239138277,17.6125,15.139088760861723,1
175,9/18/2000,16.0,16.0,15.75,15.75,8348,20.008265317666265,17.4625,14.916734682333733,1
176,9/19/2000,15.75,16.25,15.75,15.75,5067,19.796824715200618,17.2875,14.778175284799385,1
177,9/20/2000,16.0,16.0,15.5,15.75,10028,19.71858149940096,17.1625,14.606418500599046,1
178,9/21/2000,15.75,16.0,15.75,16.0,4408,19.562506513801054,17.0375,14.512493486198947,1
179,9/22/2000,16.0,16.0,15.75,15.75,11958,19.38892282767188,16.9,14.411077172328117,1
180,9/25/2000,16.0,16.5,16.0,16.25,11968,19.220308810222996,16.8,14.379691189777006,1
181,9/26/2000,16.25,17.0,16.25,17.0,18792,18.956058029465677,16.7125,14.468941970534322,1
182,9/27/2000,16.75,17.25,16.5,17.0,17287,18.724269096751932,16.6375,14.550730903248068,1
183,9/28/2000,17.0,17.0,16.25,16.25,11451,18.423059951357796,16.525,14.6269400486422,1
184,9/29/2000,16.5,16.5,16.0,16.0,5925,18.065438143710935,16.4,14.734561856289062,1
185,10/2/2000,16.0,16.5,16.0,16.25,13378,17.719785009670566,16.3,14.880214990329437,1
186,10/3/2000,16.25,16.25,16.0,16.25,15848,17.159137250916963,16.1875,15.215862749083039,1
187,10/4/2000,16.25,16.75,16.25,16.5,9660,16.906556154271005,16.1375,15.368443845728994,1
188,10/5/2000,16.5,17.0,16.25,16.5,10522,16.934722545671566,16.15,15.36527745432843,1
189,10/6/2000,16.25,16.75,16.25,16.75,6842,17.00375937718026,16.175,15.346240622819742,1
190,10/9/2000,16.5,16.75,16.5,16.75,6696,17.07510010860738,16.2125,15.349899891392617,1
191,10/10/2000,16.75,17.0,16.5,16.75,5898,17.138523316639223,16.25,15.361476683360776,1
192,10/11/2000,16.75,16.75,16.5,16.5,8018,17.1620412083236,16.275,15.387958791676398,1
193,10/12/2000,16.5,17.0,16.5,17.0,16551,17.214504725871212,16.35,15.485495274128793,1
194,10/13/2000,16.5,17.0,16.25,16.5,22831,17.228145484747756,16.3625,15.496854515252243,1
195,10/16/2000,17.0,17.5,16.75,17.0,17069,17.28492655745217,16.425,15.565073442547831,1
196,10/17/2000,17.25,18.0,17.25,17.75,23484,17.510420027998183,16.525,15.539579972001814,1
197,10/18/2000,17.75,19.25,17.75,19.25,42446,18.209618285667613,16.7,15.190381714332387,1
198,10/19/2000,19.0,19.5,18.5,19.0,49520,18.637382679256522,16.85,15.062617320743483,1
199,10/20/2000,19.5,19.5,18.75,18.75,53798,18.89875305342629,17.0,15.101246946573708,-1
200,10/24/2000,19.0,19.0,18.0,18.0,17304,19.001953336842735,17.0875,15.173046663157262,-1
201,10/25/2000,18.0,18.25,17.5,17.5,12014,19.035183158067575,17.1125,15.189816841932425,-1
202,10/26/2000,17.5,18.25,17.5,18.25,14613,19.16246069143541,17.175,15.187539308564592,-1
203,10/27/2000,18.5,18.5,18.0,18.0,6812,19.232505343300488,17.2625,15.29249465669951,-1
204,10/30/2000,18.0,18.25,17.5,17.75,6836,19.23763288134577,17.35,15.462367118654232,-1
205,10/31/2000,17.75,18.25,17.75,18.0,5696,19.271929496859514,17.4375,15.603070503140485,-1
206,11/1/2000,18.25,19.0,18.0,19.0,13772,19.446531880291715,17.575,15.703468119708285,-1
207,11/2/2000,19.0,19.25,18.5,18.75,15031,19.55744933790107,17.6875,15.81755066209893,-1
208,11/3/2000,19.0,19.5,19.0,19.5,18357,19.786014954091097,17.8375,15.8889850459089,-1
209,11/6/2000,19.5,21.0,19.5,20.75,51892,20.310192583467504,18.0375,15.764807416532497,-1
210,11/7/2000,21.25,21.5,20.5,21.0,38672,20.794343571636333,18.25,15.70565642836367,-1
211,11/8/2000,21.5,22.25,21.0,21.75,38173,21.383711059327023,18.5,15.616288940672977,-1
212,11/9/2000,21.5,21.75,20.75,20.75,17139,21.602022816186768,18.7125,15.82297718381323,-1
213,11/10/2000,20.75,21.0,20.5,20.75,10470,21.808245989740694,18.9,15.991754010259303,-1
214,11/13/2000,20.5,20.5,20.0,20.25,8635,21.822627246150038,19.0875,16.35237275384996,-1
215,11/14/2000,20.25,20.75,20.25,20.5,8512,21.880630108141798,19.2625,16.6443698918582,-1
216,11/15/2000,20.75,21.25,20.75,21.0,18451,22.051284147051366,19.425,16.798715852948636,-1
217,11/16/2000,20.75,21.0,20.5,20.75,6155,22.190137934244976,19.5,16.809862065755024,-1
218,11/17/2000,20.75,21.5,20.75,21.5,12567,22.44644046823429,19.625,16.80355953176571,-1
219,11/20/2000,21.5,21.5,20.75,20.75,8299,22.55761084699734,19.725,16.892389153002664,-1
220,11/21/2000,20.5,20.75,20.25,20.5,13753,22.580914633752354,19.85,17.11908536624765,-1
221,11/22/2000,20.5,20.75,20.25,20.25,2502,22.48736841758997,19.9875,17.48763158241003,-1
222,11/23/2000,20.0,20.25,20.0,20.25,4462,22.451010992258535,20.0875,17.723989007741462,-1
223,11/24/2000,20.0,20.5,20.0,20.25,1849,22.34966337634048,20.2,18.05033662365952,-1
224,11/27/2000,20.5,20.75,20.25,20.5,2494,22.153184588885516,20.3375,18.52181541111448,-1
225,11/28/2000,20.5,20.5,20.0,20.25,4042,21.897320573371992,20.45,19.002679426628006,-1
226,11/29/2000,20.25,20.25,20.0,20.0,5347,21.79777136904632,20.5,19.20222863095368,-1
227,11/30/2000,20.0,20.0,19.5,19.75,4420,21.62115284672786,20.55,19.47884715327214,-1
228,12/1/2000,19.75,19.75,19.0,19.0,5975,21.715974832913,20.525,19.334025167087,-1
229,12/4/2000,19.0,19.25,18.75,19.25,3674,21.76389337066379,20.45,19.136106629336208,1
230,12/6/2000,19.75,19.75,19.0,19.25,6635,21.75302243116734,20.3625,18.97197756883266,1
231,12/7/2000,19.25,19.25,19.0,19.25,4235,21.55014096987336,20.2375,18.92485903012664,1
232,12/8/2000,19.25,19.25,18.5,18.75,5955,21.583683725679993,20.1375,18.691316274320005,1
