,Date,Open,High,Low,Close,Volume,RSI,Signal
176,9/19/2000,15.75,16.25,15.75,15.75,5067,34.82064387265055,1
177,9/20/2000,16.0,16.0,15.5,15.75,10028,34.820643872650535,1
178,9/21/2000,15.75,16.0,15.75,16.0,4408,38.06622932543437,1
179,9/22/2000,16.0,16.0,15.75,15.75,11958,36.12881975847607,1
180,9/25/2000,16.0,16.5,16.0,16.25,11968,42.43877511233031,1
181,9/26/2000,16.25,17.0,16.25,17.0,18792,50.36057755116212,1
182,9/27/2000,16.75,17.25,16.5,17.0,17287,50.36057755116212,1
183,9/28/2000,17.0,17.0,16.25,16.25,11451,43.42884735963799,1
184,9/29/2000,16.5,16.5,16.0,16.0,5925,41.3840630515299,1
185,10/2/2000,16.0,16.5,16.0,16.25,13378,44.21277449287449,1
186,10/3/2000,16.25,16.25,16.0,16.25,15848,44.21277449287449,1
187,10/4/2000,16.25,16.75,16.25,16.5,9660,47.16960325816204,1
188,10/5/2000,16.5,17.0,16.25,16.5,10522,47.16960325816204,1
189,10/6/2000,16.25,16.75,16.25,16.75,6842,50.22900892738486,1
190,10/9/2000,16.5,16.75,16.5,16.75,6696,50.22900892738485,1
191,10/10/2000,16.75,17.0,16.5,16.75,5898,50.22900892738485,1
192,10/11/2000,16.75,16.75,16.5,16.5,8018,46.841081062367486,1
193,10/12/2000,16.5,17.0,16.5,17.0,16551,53.58418976303875,1
194,10/13/2000,16.5,17.0,16.25,16.5,22831,47.14404608715138,1
195,10/16/2000,17.0,17.5,16.75,17.0,17069,53.2013195300707,1
196,10/17/2000,17.25,18.0,17.25,17.75,23484,60.51152478502585,1
197,10/18/2000,17.75,19.25,17.75,19.25,42446,70.45254097956374,1
198,10/19/2000,19.0,19.5,18.5,19.0,49520,67.40676917764236,-1
199,10/20/2000,19.5,19.5,18.75,18.75,53798,64.40811770790742,-1
200,10/24/2000,19.0,19.0,18.0,18.0,17304,56.3144028411531,-1
201,10/25/2000,18.0,18.25,17.5,17.5,12014,51.65418487191481,-1
202,10/26/2000,17.5,18.25,17.5,18.25,14613,57.35492879811266,-1
203,10/27/2000,18.5,18.5,18.0,18.0,6812,55.02575402688247,-1
204,10/30/2000,18.0,18.25,17.5,17.75,6836,52.720109659306395,-1
205,10/31/2000,17.75,18.25,17.75,18.0,5696,54.761469158192114,-1
206,11/1/2000,18.25,19.0,18.0,19.0,13772,61.85586585418434,-1
207,11/2/2000,19.0,19.25,18.5,18.75,15031,59.35003004058481,-1
208,11/3/2000,19.0,19.5,19.0,19.5,18357,64.0546100502714,-1
209,11/6/2000,19.5,21.0,19.5,20.75,51892,70.23716941533394,-1
210,11/7/2000,21.25,21.5,20.5,21.0,38672,71.30037204396324,-1
211,11/8/2000,21.5,22.25,21.0,21.75,38173,74.26991105488275,-1
212,11/9/2000,21.5,21.75,20.75,20.75,17139,64.66284076495302,-1
213,11/10/2000,20.75,21.0,20.5,20.75,10470,64.66284076495302,-1
214,11/13/2000,20.5,20.5,20.0,20.25,8635,60.150936956623504,-1
215,11/14/2000,20.25,20.75,20.25,20.5,8512,61.59391517819461,-1
216,11/15/2000,20.75,21.25,20.75,21.0,18451,64.37260701561819,-1
217,11/16/2000,20.75,21.0,20.5,20.75,6155,61.958824132196526,-1
218,11/17/2000,20.75,21.5,20.75,21.5,12567,66.06933174209544,-1
219,11/20/2000,21.5,21.5,20.75,20.75,8299,59.18249941028641,-1
220,11/21/2000,20.5,20.75,20.25,20.5,13753,57.047870145693246,-1
221,11/22/2000,20.5,20.75,20.25,20.25,2502,54.914808941256744,-1
222,11/23/2000,20.0,20.25,20.0,20.25,4462,54.914808941256744,-1
223,11/24/2000,20.0,20.5,20.0,20.25,1849,54.91480894125675,-1
224,11/27/2000,20.5,20.75,20.25,20.5,2494,56.9263531212699,-1
225,11/28/2000,20.5,20.5,20.0,20.25,4042,54.31652261801646,-1
226,11/29/2000,20.25,20.25,20.0,20.0,5347,51.76096325557847,-1
227,11/30/2000,20.0,20.0,19.5,19.75,4420,49.26478667029165,-1
228,12/1/2000,19.75,19.75,19.0,19.0,5975,42.62382050420222,-1
229,12/4/2000,19.0,19.25,18.75,19.25,3674,45.27211777273716,-1
230,12/6/2000,19.75,19.75,19.0,19.25,6635,45.272117772737154,-1
231,12/7/2000,19.25,19.25,19.0,19.25,4235,45.272117772737154,-1
232,12/8/2000,19.25,19.25,18.5,18.75,5955,40.59197275493346,-1
233,12/12/2000,18.75,19.0,18.5,18.5,4558,38.45156176965093,-1
234,12/13/2000,18.5,18.75,18.0,18.75,11185,41.75884706447188,-1
235,12/14/2000,18.75,19.0,18.5,18.5,2667,39.47453054864413,-1
236,12/15/2000,18.75,19.25,18.75,19.0,8951,45.85405619176504,-1
237,12/18/2000,19.0,19.0,18.75,18.75,2514,43.3913743164162,-1
238,12/19/2000,19.0,19.0,18.75,19.0,6763,46.48650206208095,-1
239,12/20/2000,19.0,19.25,18.75,18.75,3149,43.901504970765764,-1
